case_id,repo_id,repo_name,repo_url,commit_hash,commit_url,duration_seconds,refactoring_index,refactoring_type,swift_paths,entity_names,raw_json_file
case-0002743ccaa45d93b79faa0a,alamofire-alamofire,Alamofire/Alamofire,https://github.com/Alamofire/Alamofire.git,9a0e640817719b1d23939f1a304bb42938b85b22,https://github.com/Alamofire/Alamofire/commit/9a0e640817719b1d23939f1a304bb42938b85b22,52.782080,294,Add variable refactoring,Tests/DataStreamTests.swift,session;testThatDataCanBeStreamedManyTimes,raw/alamofire-alamofire-9a0e640817719b1d23939f1a304bb42938b85b22.json.deflate
case-000398b53fac443ba8afc966,shadowsocks-shadowsocksx-ng,shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG.git,184bf068b77ae1790c645a2569a2554020dbca8b,https://github.com/shadowsocks/ShadowsocksX-NG/commit/184bf068b77ae1790c645a2569a2554020dbca8b,1072.566666,5221,Remove modifier refactoring,Pods/RxSwift/RxSwift/Observables/SkipUntil.swift,Parent;_parent,raw/shadowsocks-shadowsocksx-ng-184bf068b77ae1790c645a2569a2554020dbca8b.json.deflate
case-000461535c110649f6075b98,alamofire-alamofire,Alamofire/Alamofire,https://github.com/Alamofire/Alamofire.git,f3f0f136153e8ce3bb5094c5528db431518ee0c7,https://github.com/Alamofire/Alamofire/commit/f3f0f136153e8ce3bb5094c5528db431518ee0c7,4.137361,6,Add function refactoring,Tests/InternalRequestTests.swift,testThatRequestCompressorDeflatesDataCorrectly,raw/alamofire-alamofire-f3f0f136153e8ce3bb5094c5528db431518ee0c7.json.deflate
case-00049a0b50e98fb8c6d8e683,shadowsocks-shadowsocksx-ng,shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG.git,4957f2b45ed77966bb7d3e28ee9bcea79f236bd0,https://github.com/shadowsocks/ShadowsocksX-NG/commit/4957f2b45ed77966bb7d3e28ee9bcea79f236bd0,63.590354,1595,Change Return Type Refactoring,Pods/RxCocoa/RxCocoa/Traits/SharedSequence/SharedSequence+Operators+arity.swift,"@escaping (O1.E, O2.E) throws -> E;@escaping (O1.Element, O2.Element) throws -> Element;O1;O2;SharedSequence<O1.SharingStrategy, Element>;SharedSequence<SharingStrategy, E>;combineLatest;resultSelector",raw/shadowsocks-shadowsocksx-ng-4957f2b45ed77966bb7d3e28ee9bcea79f236bd0.json.deflate
case-0004eb1fe8d55e0f8597042d,shadowsocks-shadowsocksx-ng,shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG.git,c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b,https://github.com/shadowsocks/ShadowsocksX-NG/commit/c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b,66.839111,1174,Remove statement refactoring,Pods/RxCocoa/Platform/DataStructures/PriorityQueue.swift,Int;bubbleToLowerPriority;initialUnbalancedIndex,raw/shadowsocks-shadowsocksx-ng-c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b.json.deflate
case-00076bf0677f12cbba544741,shadowsocks-shadowsocksx-ng,shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG.git,c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b,https://github.com/shadowsocks/ShadowsocksX-NG/commit/c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b,66.839111,4614,Add Parameter Refactoring,Pods/RxSwift/RxSwift/Observables/ObserveOn.swift,Observer;observer,raw/shadowsocks-shadowsocksx-ng-c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b.json.deflate
case-00083a541db2406719bcd745,shadowsocks-shadowsocksx-ng,shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG.git,4957f2b45ed77966bb7d3e28ee9bcea79f236bd0,https://github.com/shadowsocks/ShadowsocksX-NG/commit/4957f2b45ed77966bb7d3e28ee9bcea79f236bd0,63.590354,1319,Remove Import refactoring,Pods/RxCocoa/RxCocoa/Deprecated.swift,Cocoa,raw/shadowsocks-shadowsocksx-ng-4957f2b45ed77966bb7d3e28ee9bcea79f236bd0.json.deflate
case-000907c9223898beee11ff83,shadowsocks-shadowsocksx-ng,shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG.git,4957f2b45ed77966bb7d3e28ee9bcea79f236bd0,https://github.com/shadowsocks/ShadowsocksX-NG/commit/4957f2b45ed77966bb7d3e28ee9bcea79f236bd0,63.590354,2240,Remove Import refactoring,Pods/RxCocoa/RxCocoa/iOS/UIAlertAction+Rx.swift,UIKit,raw/shadowsocks-shadowsocksx-ng-4957f2b45ed77966bb7d3e28ee9bcea79f236bd0.json.deflate
case-000c89d08a8a8bbb768a51b9,shadowsocks-shadowsocksx-ng,shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG.git,c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b,https://github.com/shadowsocks/ShadowsocksX-NG/commit/c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b,66.839111,5956,Replace function call arguments refactoring,Pods/RxSwift/RxSwift/Observables/Zip+arity.swift,observer1,raw/shadowsocks-shadowsocksx-ng-c622d91fbd9e3d637e1d46523d0f08f2d1dcdb3b.json.deflate
case-000cd6295961fd4d141b6b5a,shadowsocks-shadowsocksx-ng,shadowsocks/ShadowsocksX-NG,https://github.com/shadowsocks/ShadowsocksX-NG.git,72c643eab2f289d5b6625ae80bac28c3350b680e,https://github.com/shadowsocks/ShadowsocksX-NG/commit/72c643eab2f289d5b6625ae80bac28c3350b680e,58.363232,781,Remove Parameter Refactoring,Pods/RxSwift/RxSwift/Extensions/Bag+Rx.swift,Bag<(Event<E>) -> ()>;bag,raw/shadowsocks-shadowsocksx-ng-72c643eab2f289d5b6625ae80bac28c3350b680e.json.deflate
