case_id,reviewer_id,run_id,review_key,verdict,issue_category,confidence,notes,submission_id,submitted_at,revision_of
case-04778ad64ded6f4ec8c741d9,,swiftminer-study-v1,,,,,,,,
case-255912217fc868d8cd0835c8,,swiftminer-study-v1,,,,,,,,
case-296640114b3df8526c43dae7,,swiftminer-study-v1,,,,,,,,
case-3cbdad4b4a0679f4b819af4c,,swiftminer-study-v1,,,,,,,,
case-663d614687ce1d79eb4e8ba8,,swiftminer-study-v1,,,,,,,,
case-6d51ea186e855a524c050f76,,swiftminer-study-v1,,,,,,,,
case-7206249198290bf4e4005722,,swiftminer-study-v1,,,,,,,,
case-7f35abd263421aeb7b68310a,,swiftminer-study-v1,,,,,,,,
case-8cbe1fdb4a87dc7ff15e0cc4,,swiftminer-study-v1,,,,,,,,
case-a55e47d8754b3e0f97676137,,swiftminer-study-v1,,,,,,,,
case-f143c9fe90985fcd02b66316,,swiftminer-study-v1,,,,,,,,
case-ffa5107595fc733be486d308,,swiftminer-study-v1,,,,,,,,
